"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","qty_rice_gift","qty_rice_pay","qty_rice_feed","qty_rice_seed","qty_rice_lost","qty_rice_processed","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","qty_cashew_gift","qty_cashew_pay","qty_cashew_feed","qty_cashew_seed","qty_cashew_lost","qty_cashew_processed","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID100767",3,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1000,0,1000,0,0,0,0,0,0,1,1,0.93023252,0.93023252,0,2500000,2500
"HID100830",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100960",25,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101040",23,"Coastal",1,0.104999996721744,0.104999996721744,569,0,0,0,0,0,0,0,0,512100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101076",7,"Coastal",1,0.5,0.5,1600,0,0,0,0,0,0,0,0,1600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101086",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101130",7,"Coastal",1,0.600000023841858,0.600000023841858,4200,3600,600,0,0,0,0,0,0,4200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101147",25,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101152",1,"Tonle Sap",1,8,8,16000,6000,10000,0,0,0,0,0,0,14720000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101200",21,"Plain",1,1.79999995231628,1.79999995231628,4000,1000,3000,0,0,0,0,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101213",21,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101260",20,"Plain",1,0.400000005960464,0.400000005960464,1000,0,0,0,0,0,0,0,0,820000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101448",7,"Coastal",1,0.349999994039536,0.349999994039536,900,0,0,0,0,0,0,0,0,9e+05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101498",8,"Plain",1,0.730000019073486,0.730000019073486,1450,0,0,0,0,0,0,0,0,1160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101619",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101624",17,"Tonle Sap",1,2.90000009536743,2.90000009536743,4000,2000,2000,0,0,0,0,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101636",4,"Tonle Sap",1,0.5,0.5,3000,0,0,0,0,0,0,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101703",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101774",14,"Plain",1,1.50999999046326,1.50999999046326,3000,1500,1000,0,0,0,500,0,0,2400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101937",3,"Plain",1,0.300000011920929,0.300000011920929,2000,0,0,0,0,0,0,0,0,1640000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102011",16,"Mountain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,10000,0,10000,0,0,0,0,0,0,1,1,0.49731451,0.49731451,0,45000000,4500
"HID102100",20,"Plain",1,0.5,0.5,700,0,0,0,0,0,0,0,0,574000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102181",14,"Plain",1,1.10000002384186,1.10000002384186,7500,2500,5000,0,0,0,0,0,0,6300000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102229",22,"Tonle Sap",1,2,2,3000,0,0,0,0,0,0,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102441",3,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5000,0,5000,0,0,0,0,0,0,1,1,NA,NA,0,20000000,4000
"HID102496",7,"Coastal",1,0.660000026226044,0.660000026226044,1050,0,0,0,0,0,0,0,0,1050000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102501",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102562",8,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102623",17,"Tonle Sap",1,0.699999988079071,0.699999988079071,500,0,0,0,0,0,0,0,0,450000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102723",21,"Plain",1,0.5,0.5,800,0,0,0,0,0,0,0,0,680000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102779",17,"Tonle Sap",1,0.5,0.5,500,0,0,0,0,0,0,0,0,450000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102839",8,"Plain",1,1.20000004768372,1.20000004768372,11000,1000,10000,0,0,0,0,0,0,9460000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102877",1,"Tonle Sap",1,3.27999997138977,3.27999997138977,4000,1000,3000,0,0,0,0,0,0,3200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102931",3,"Plain",1,1.20000004768372,1.20000004768372,2000,0,0,0,0,0,0,0,0,1640000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103006",22,"Tonle Sap",1,1,1,1500,0,0,0,0,0,0,0,0,1350000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103057",14,"Plain",1,0.800000011920929,0.800000011920929,3000,0,0,0,0,0,0,0,0,2550000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103063",7,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103066",5,"Mountain",1,0.300000011920929,0.300000011920929,600,0,0,0,0,0,0,0,0,6e+05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103069",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103130",14,"Plain",1,2,2,4000,2000,2000,0,0,0,0,0,0,4e+06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103140",18,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103196",13,"Mountain",1,4,4,6000,2000,4000,0,0,0,0,0,0,5100000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103225",21,"Plain",1,1,1,6300,3300,3000,0,0,0,0,0,0,5355000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103340",1,"Tonle Sap",1,3,3,3000,400,2000,0,0,0,600,0,0,2745000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103410",11,"Mountain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.98522168,0,NA,NA
"HID103416",4,"Tonle Sap",1,0.860000014305115,0.860000014305115,2050,750,300,0,0,0,0,0,0,2255000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103572",14,"Plain",1,0.5,0.5,560,0,0,0,0,0,0,0,0,476000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103647",21,"Plain",1,1.27999997138977,1.27999997138977,3400,1750,1500,0,0,0,150,0,0,3400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103775",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103871",3,"Plain",1,0.400000005960464,0.400000005960464,500,0,0,0,0,0,0,0,0,410000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103915",13,"Mountain",1,1.5,1.5,2000,0,0,0,0,0,0,0,0,1800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103986",12,"Phnom Penh",1,0.230000004172325,0.230000004172325,700,0,0,0,0,0,0,0,0,910000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103990",14,"Plain",1,0.5,1,1050,0,0,0,0,0,0,0,0,892500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104034",21,"Plain",1,0.379999995231628,0.379999995231628,840,0,0,0,0,0,0,0,0,714000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104238",21,"Plain",1,0.200000002980232,0.200000002980232,700,0,0,0,0,0,0,0,0,595000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104328",20,"Plain",1,0.200000002980232,0.200000002980232,450,0,0,0,0,0,0,0,0,369000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104349",7,"Coastal",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104368",1,"Tonle Sap",1,4,4,8000,2000,6000,0,0,0,0,0,0,7200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104409",3,"Plain",1,0.200000002980232,0.200000002980232,150,0,0,0,0,0,0,0,0,123000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104451",3,"Plain",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
