"hhid","weight","province","zone"
"HID100022",74.2926762393352,5,"Mountain"
"HID100123",191.622820215468,17,"Tonle Sap"
"HID100131",48.9534675307968,3,"Plain"
"HID100257",280.961709217443,12,"Phnom Penh"
"HID100505",149.999333745842,19,"Mountain"
"HID100568",130.49948274345,1,"Tonle Sap"
"HID100622",83.0783477891077,17,"Tonle Sap"
"HID100667",63.4209985788717,19,"Mountain"
"HID100703",54.6296632618937,8,"Plain"
"HID100709",113.839961778636,1,"Tonle Sap"
"HID100767",80.6156060947495,3,"Plain"
"HID100830",122.116703469999,1,"Tonle Sap"
"HID100960",201.989114873545,25,"Plain"
"HID101040",49.5545025517597,23,"Coastal"
"HID101076",200.77162603974,7,"Coastal"
"HID101086",43.2166982875522,2,"Tonle Sap"
"HID101130",132.237687765352,7,"Coastal"
"HID101147",143.223029052982,25,"Plain"
"HID101152",110.924548123329,1,"Tonle Sap"
"HID101200",146.258876018046,21,"Plain"
"HID101213",59.5216844839172,21,"Plain"
"HID101260",75.1459677451077,20,"Plain"
"HID101448",38.287260837021,7,"Coastal"
"HID101498",165.539006996274,8,"Plain"
"HID101619",174.068919177178,17,"Tonle Sap"
"HID101624",230.001286794106,17,"Tonle Sap"
"HID101636",164.219652140228,4,"Tonle Sap"
"HID101703",176.184585350841,1,"Tonle Sap"
"HID101774",159.017188434148,14,"Plain"
"HID101937",110.84960997623,3,"Plain"
"HID102011",166.454514444185,16,"Mountain"
"HID102100",69.5961207082253,20,"Plain"
"HID102181",176.816165405826,14,"Plain"
"HID102229",122.517798858565,22,"Tonle Sap"
"HID102441",240.553614629653,3,"Plain"
"HID102496",190.59285811362,7,"Coastal"
"HID102501",273.473222365752,4,"Tonle Sap"
"HID102562",64.5140680180811,8,"Plain"
"HID102623",239.941080696538,17,"Tonle Sap"
"HID102723",194.459578785211,21,"Plain"
"HID102779",168.058905095903,17,"Tonle Sap"
"HID102839",96.3822442234676,8,"Plain"
"HID102877",83.6012219311861,1,"Tonle Sap"
"HID102931",131.138590245494,3,"Plain"
"HID103006",139.312373533559,22,"Tonle Sap"
"HID103057",235.177056601868,14,"Plain"
"HID103063",108.028170900035,7,"Coastal"
"HID103066",59.2019763782205,5,"Mountain"
"HID103069",104.767753424369,2,"Tonle Sap"
"HID103130",184.691291973826,14,"Plain"
"HID103140",148.157441168054,18,"Coastal"
"HID103196",116.264541290753,13,"Mountain"
"HID103225",182.612311835515,21,"Plain"
"HID103340",98.4469673746785,1,"Tonle Sap"
"HID103410",60.6743183447005,11,"Mountain"
"HID103416",139.673165669939,4,"Tonle Sap"
"HID103572",157.16992480518,14,"Plain"
"HID103647",195.062911651098,21,"Plain"
"HID103775",186.025529595758,1,"Tonle Sap"
"HID103871",122.202559041927,3,"Plain"
"HID103915",75.755510048357,13,"Mountain"
"HID103986",106.470710381167,12,"Phnom Penh"
"HID103990",157.16992480518,14,"Plain"
"HID104034",145.482688638146,21,"Plain"
"HID104238",94.9444557884623,21,"Plain"
"HID104328",96.7911331585527,20,"Plain"
"HID104349",143.689644385554,7,"Coastal"
"HID104368",240.766487542181,1,"Tonle Sap"
"HID104409",509.177329341364,3,"Plain"
"HID104451",93.7958238260407,3,"Plain"
"HID104492",83.8720962941456,8,"Plain"
"HID104495",108.505385567502,4,"Tonle Sap"
"HID104497",191.764671104866,17,"Tonle Sap"
"HID104604",140.826830414229,3,"Plain"
"HID104607",244.259249516566,20,"Plain"
"HID104699",144.504952245697,6,"Tonle Sap"
"HID104779",200.67673743639,5,"Mountain"
"HID104786",60.0067826356029,13,"Mountain"
"HID104872",166.454514444185,16,"Mountain"
"HID104920",128.892282483251,17,"Tonle Sap"
"HID104929",139.21042021655,7,"Coastal"
"HID105113",168.735047612323,3,"Plain"
"HID105117",200.895804979589,9,"Coastal"
"HID105181",67.8597235578016,1,"Tonle Sap"
"HID105281",133.303772542107,21,"Plain"
"HID105463",108.109602414605,14,"Plain"
"HID105557",93.3411945623351,7,"Coastal"
"HID105612",109.556724630262,8,"Plain"
"HID105631",85.324100895552,21,"Plain"
"HID105792",90.4524718122579,25,"Plain"
