"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID100224",21,"Plain",1,0.6,0.6,3000,0,0,2790000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100368",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100419",6,"Tonle Sap",1,2.36,2.36,28000,2000,12000,19600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100532",21,"Plain",1,1.5,1.5,48000,0,24000,42240000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100535",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100543",22,"Tonle Sap",1,0.03,0.03,400,0,0,340000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100682",9,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100914",19,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID100967",14,"Plain",1,2.3,2.3,10000,2000,3000,9000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101054",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101094",13,"Mountain",1,2.5,2.5,14000,3500,3500,15400000,1,2,2,600,0,300,0.5,1,0.43365136,0.41666666,0,2700000,4500
"HID101229",4,"Tonle Sap",1,0.3,0.3,4560,1780,500,4560000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101249",14,"Plain",1,2.05,2.05,21000,0,6500,16800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101275",9,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101429",25,"Plain",1,3.9,3.9,18000,1000,8000,18900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101461",7,"Coastal",1,0.4,0.4,1870,0,0,1907400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101580",20,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101639",1,"Tonle Sap",1,2,2,800,0,0,720000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101666",25,"Plain",1,1,1,4800,1440,900,5040000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101774",19,"Mountain",0,NA,NA,NA,NA,NA,NA,1,10,10,6000,0,3000,0.5,1,0.99989998,0.99970007,0,24000000,4000
"HID101781",25,"Plain",1,0.6,0.6,4000,0,0,3800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101853",5,"Mountain",1,0.3,0.3,800,0,0,880000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID101901",4,"Tonle Sap",1,0.91,0.91,2300,0,0,2070000,1,NA,NA,60,0,30,0.5,1,NA,NA,0,180000,3000
"HID101937",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102093",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102146",8,"Plain",1,0.24,0.24,1400,0,0,1260000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102154",21,"Plain",1,0.1,0.1,1200,0,0,1116000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102185",22,"Tonle Sap",1,1,1,4000,1000,1000,4000000,1,3,3,20000,0,10000,0.5,1,0.74812967,0.70588237,0,80000000,4000
"HID102223",12,"Phnom Penh",1,0.28,0.28,1800,0,0,2160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102269",25,"Plain",1,0.53,0.53,8000,1000,3000,6400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102336",14,"Plain",1,1,1,5550,0,0,5161500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102342",13,"Mountain",0,NA,NA,NA,NA,NA,NA,1,1.5,15,1000,0,500,0.5,1,0.99858868,403.2258,0,4000000,4000
"HID102398",4,"Tonle Sap",1,1.6,1.6,46000,3000,20000,34500000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102464",6,"Tonle Sap",1,0.5,0.5,1000,0,0,900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102469",14,"Plain",1,0.5,0.5,2800,0,0,2604000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102510",16,"Mountain",0,NA,NA,NA,NA,NA,NA,1,3,3,5000,0,2500,0.5,1,0.99986666,0.99833608,0,17500000,3500
"HID102593",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102658",7,"Coastal",1,0.3,0.3,1500,0,0,1530000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102760",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102780",25,"Plain",0,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1500,0,750,0.5,1,0.42735043,0.42492917,0,6000000,4000
"HID102869",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102900",3,"Plain",1,0.3,0.3,1260,0,0,1134000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID102936",14,"Plain",1,1.08,1.08,6600,2000,1000,5973000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103054",2,"Tonle Sap",1,1.2,1.2,5400,800,1700,5940000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103069",3,"Plain",1,0.63,0.63,6000,1000,2000,5400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103072",6,"Tonle Sap",1,2.233,2.233,7350,0,3400,5512500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103155",5,"Mountain",1,2.2,2.2,10000,3000,2000,11000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103168",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103184",7,"Coastal",1,0.485,0.485,1800,0,0,1836000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103193",10,"Mountain",1,4,4,10000,2000,3000,14000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103228",6,"Tonle Sap",1,0.7,0.7,1200,0,0,1080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103377",1,"Tonle Sap",1,12.5,12.5,50000,7000,18000,45000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103410",7,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103456",16,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103520",1,"Tonle Sap",1,1,4,3000,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103658",14,"Plain",1,0.7,0.7,3800,0,0,3534000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103695",11,"Mountain",1,1.5,1.5,8000,0,0,6800000,1,0,0.3,0,NA,NA,NA,NA,0.13617794,0.12987013,0,NA,NA
"HID103705",17,"Tonle Sap",1,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103754",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103871",5,"Mountain",1,0.3,0.3,1600,0,0,1760000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID103888",10,"Mountain",1,3,3,12000,1000,5000,12000000,1,0,5,0,NA,NA,NA,NA,0.61652279,0.61500615,0,NA,NA
"HID104066",7,"Coastal",1,0.25,0.25,1100,0,0,1122000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104070",17,"Tonle Sap",1,0.5,0.5,3000,0,0,2850000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104121",7,"Coastal",1,0.1,0.1,440,0,0,448800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104134",14,"Plain",1,1.07,1.07,4500,1550,700,4500000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104161",2,"Tonle Sap",1,18,18,160000,10000,70000,128000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104276",21,"Plain",1,0.1,0.1,240,0,0,223200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104427",14,"Plain",1,0.27,0.27,6600,330,2970,5940000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104451",2,"Tonle Sap",1,1,1,3000,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104460",25,"Plain",1,0.4,0.4,2000,0,0,1900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104658",10,"Mountain",1,0.7,0.7,3300,0,0,3300000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104683",22,"Tonle Sap",1,0.8,0.8,1200,0,0,1020000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104701",14,"Plain",1,7,7,70000,2000,0,65100000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104736",1,"Tonle Sap",1,2.5,2.5,3600,0,0,3240000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104757",21,"Plain",1,1.2,1.2,7000,1000,2500,7700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104838",21,"Plain",1,0.25,0.25,1200,0,0,1116000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104888",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID104976",10,"Mountain",0,NA,NA,NA,NA,NA,NA,1,0,16,0,NA,NA,NA,NA,0.94007051,15.238096,0,NA,NA
"HID105056",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105088",5,"Mountain",1,0.9,0.9,8000,2000,2000,8800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105089",21,"Plain",1,0.4,0.4,1600,0,0,1488000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105223",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105238",10,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105396",3,"Plain",1,1.5,1.5,11200,200,1300,8960000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105421",25,"Plain",1,0.2,0.2,1200,300,300,1080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105463",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105512",10,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105522",21,"Plain",1,0.3,0.3,1800,0,0,1674000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105558",13,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105581",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105641",15,"Tonle Sap",1,0.5,0.5,2000,0,0,1800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105651",14,"Plain",1,0.7,0.7,4400,0,0,4092000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105671",14,"Plain",1,0.75,0.75,7600,1000,2000,7220000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105679",25,"Plain",1,1.5,1.5,4000,0,0,3800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105749",14,"Plain",1,2,2,14000,1500,5250,14700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID105856",7,"Coastal",1,1.15,1.15,4000,0,0,4080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106028",21,"Plain",1,0.5,0.5,4000,0,0,3720000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106048",20,"Plain",1,0.57,0.57,1800,0,0,1620000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106083",13,"Mountain",1,2,2,700,0,0,700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106111",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106130",8,"Plain",1,0.035,0.035,500,0,0,450000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106132",18,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106217",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106460",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106578",3,"Plain",1,0.7,0.7,2000,0,0,1800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106595",14,"Plain",1,1.5,1.5,3000,1000,500,2850000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106611",9,"Coastal",1,1,1,4000,0,0,4000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106654",21,"Plain",1,4,4,40000,0,20000,28000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106688",22,"Tonle Sap",1,3.7,3.7,16000,2000,6000,19200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106760",2,"Tonle Sap",1,1,1,14000,1500,5500,13720000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106860",7,"Coastal",1,7.5,7.5,27770,3040,10845,27770000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106901",14,"Plain",1,1.5,1.5,8000,2000,2000,8480000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID106911",2,"Tonle Sap",1,0.16,0.16,1600,4,4,1392000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107022",5,"Mountain",1,0.67,0.67,3350,0,0,3685000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107133",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107170",4,"Tonle Sap",1,0.416,0.416,600,0,0,540000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107299",3,"Plain",0,NA,NA,NA,NA,NA,NA,1,1.6,1.6,4000,0,2000,0.5,1,0.99688476,1.860465,0,12000000,3000
"HID107498",NA,"",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107534",4,"Tonle Sap",1,0.44,0.44,3600,800,1000,3240000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107651",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107659",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107761",12,"Phnom Penh",1,1.2,1.2,4200,0,0,5040000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107814",7,"Coastal",1,0.7,0.7,4000,0,0,4080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107864",5,"Mountain",1,1.7,2,6200,1500,1500,8866000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107881",13,"Mountain",1,4,4,16000,2000,6000,13600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107911",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107933",2,"Tonle Sap",1,11,11,60000,1800,28200,39000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID107972",14,"Plain",1,0.8,0.8,4800,1200,1200,4416000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108148",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108184",3,"Plain",1,0.5,0.5,1200,0,0,1080000,1,NA,10,200,0,100,0.5,1,0.94195664,0.94161958,0,700000,3500
"HID108232",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108235",5,"Mountain",1,0.4,0.4,1000,0,0,1100000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108427",3,"Plain",1,1,1,6000,1000,2000,4200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108429",5,"Mountain",1,0.15,0.15,600,0,0,660000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108438",20,"Plain",1,6,6,40000,2000,18000,36000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108512",8,"Plain",1,0.5,0.5,2000,0,0,1800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108514",25,"Plain",1,0.4,0.4,1440,0,0,1368000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108631",5,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108721",16,"Mountain",1,1,1,2200,0,0,2035000,1,1.5,1.5,1732,0,866,0.5,1,0.33321485,22.058823,0,5196000,3000
"HID108728",3,"Plain",1,0.63,0.63,2400,0,0,2160000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108753",3,"Plain",0,NA,NA,NA,NA,NA,NA,1,1.3,1.3,200,0,100,0.5,1,0.99206346,17.105263,0,700000,3500
"HID108772",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108792",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108846",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108992",20,"Plain",1,0.86,0.86,1600,0,0,1440000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID108998",3,"Plain",1,1.4,1.4,12000,1500,4500,10200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109249",NA,"",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109351",2,"Tonle Sap",1,4,4,12000,3000,3000,10800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109386",1,"Tonle Sap",1,3.5,3.5,14000,2500,4500,10850000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109461",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109598",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109674",1,"Tonle Sap",1,1.5,1.5,6000,0,0,5400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109737",10,"Mountain",1,2,2,16000,0,0,16000000,1,3,6,4000,0,2000,0.5,1,0.3198567,0.31984645,0,16000000,4000
"HID109782",8,"Plain",1,0.7,0.7,4000,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109810",20,"Plain",1,0.2,0.2,1000,0,0,900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109882",14,"Plain",1,0.6,0.6,2500,0,0,2325000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID109957",NA,"",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110027",18,"Coastal",1,2.2,2.2,10000,1000,4000,9000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110108",21,"Plain",1,0.4,0.4,3000,1300,200,3000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110228",3,"Plain",1,0.74,0.74,4200,0,0,3780000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110240",10,"Mountain",1,4,4,30000,500,14500,22500000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110284",2,"Tonle Sap",1,6,6,40000,2000,18000,38000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110583",3,"Plain",1,0.12,0.12,720,0,0,648000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110679",1,"Tonle Sap",1,1.5,1.5,4000,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110713",3,"Plain",1,0.7,0.7,1800,0,0,1620000,1,1,1,1600,0,800,0.5,1,0.36948088,0.48076925,0,5600000,3500
"HID110771",25,"Plain",1,0.5,0.5,2000,0,0,1900000,1,0,4,0,NA,NA,NA,NA,0.76146966,0.75829381,0,NA,NA
"HID110781",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110801",25,"Plain",1,1.4,1.4,6000,0,0,5700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110921",20,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID110925",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111135",9,"Coastal",1,0.25,0.25,500,0,0,500000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111218",6,"Tonle Sap",1,0.4,0.4,1000,0,0,900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111255",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111261",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111264",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111268",21,"Plain",1,0.6,0.6,3000,0,0,2790000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111387",8,"Plain",1,0.25,0.25,2600,0,0,2340000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111432",7,"Coastal",1,0.79,0.79,4200,1650,450,5250000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111471",20,"Plain",1,1.1,1.1,5000,1500,1000,5000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111477",17,"Tonle Sap",1,0.1,0.1,1000,300,200,1000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111500",17,"Tonle Sap",1,1,1,1000,0,0,950000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111781",17,"Tonle Sap",1,2,2,9000,0,0,8550000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111841",2,"Tonle Sap",1,6,6,32000,3000,13000,28800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111910",2,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111913",5,"Mountain",1,0.4,0.4,2000,600,400,2200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID111938",10,"Mountain",0,NA,NA,NA,NA,NA,NA,1,0,0.5,0,NA,NA,NA,NA,0.70422536,0.68965513,0,NA,NA
"HID112078",3,"Plain",1,0.88,0.88,4000,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID112165",17,"Tonle Sap",1,1,1,4000,0,0,3800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID112252",5,"Mountain",1,0.4,0.4,1600,0,0,1760000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID112413",8,"Plain",1,1.5,1.5,60000,1000,29000,72000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID112569",4,"Tonle Sap",1,5,5,27400,5000,8700,29044000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
