"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID754994",12,"Phnom Penh",1,1,1,6000,0,0,7200000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755141",17,"Tonle Sap",1,2,2,5800,0,0,5510000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755412",1,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755490",10,"Mountain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755523",6,"Tonle Sap",1,0,0.7,0,NA,NA,NA,1,1,1,640,0,320,0.5,1,0.54347825,0.54054052,0,1920000,3000
"HID755553",20,"Plain",1,5,5,60000,3000,27000,54000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755565",10,"Mountain",0,NA,NA,NA,NA,NA,NA,1,NA,NA,40,0,20,0.5,1,NA,NA,0,128000,3200
"HID755659",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755666",22,"Tonle Sap",1,5,5,10000,0,1500,6000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755696",21,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755744",1,"Tonle Sap",1,1,1,3000,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755757",14,"Plain",1,2.5,2.5,9000,2000,2500,8100000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755832",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID755899",19,"Mountain",0,NA,NA,NA,NA,NA,NA,1,7,7,18000,0,9000,0.5,1,0.58328956,0.57851237,0,81000000,4500
"HID755908",5,"Mountain",1,0.43,0.43,2100,0,0,2310000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756084",1,"Tonle Sap",1,2,3,18000,1000,8000,15552000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756101",6,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756110",2,"Tonle Sap",1,1,1,5000,1200,1300,4000000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756322",25,"Plain",1,0.3,0.3,720,0,0,684000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756345",6,"Tonle Sap",1,1.1,1.1,10000,0,4000,7000000,1,0,1.5,0,NA,NA,NA,NA,0.57568312,0.56390977,0,NA,NA
"HID756385",17,"Tonle Sap",1,1.3,1.3,5000,1800,700,5000000,1,NA,NA,200,15,85,0.42500001,1,NA,NA,0,600000,3000
"HID756434",6,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,1,7,10,2000,0,1000,0.5,1,0.71932095,0.70921981,0,8000000,4000
"HID756532",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756542",2,"Tonle Sap",1,1,1,6000,1000,2000,5820000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756640",7,"Coastal",1,0,0.075,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756911",7,"Coastal",1,0.5,0.5,2000,0,0,2040000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID756960",7,"Coastal",1,1,1,3600,1200,600,3960000,1,NA,NA,70,0,35,0.5,1,NA,NA,0,210000,3000
"HID757052",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757118",4,"Tonle Sap",1,0.3,0.3,2080,0,0,1872000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757134",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757135",14,"Plain",1,0.1,0.1,600,0,0,558000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757140",14,"Plain",1,0.2,0.2,600,0,0,558000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757193",9,"Coastal",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757197",20,"Plain",1,0.7799,0.7799,1800,0,0,1620000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757217",8,"Plain",1,0.6,0.6,3000,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757267",14,"Plain",1,1,1,4000,0,0,3720000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757293",2,"Tonle Sap",1,0,3.7,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757332",NA,"",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID757598",14,"Plain",1,1.4,1.4,20000,1500,8500,15400000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
